College,State,Financial GPA,Financial Grade
Pacific University,OR,1.5,C-
St. Thomas University,FL,1.5,C-
Arizona Christian University,AZ,1.5,D
Nichols College,MA,1.5,D
Birmingham Southern College,AL,1.49,D
Canisius College,NY,1.49,D
Faulkner University,AL,1.49,D
John F. Kennedy University,CA,1.49,D
La Roche College,PA,1.49,D
Medaille College,NY,1.49,D
Central Baptist College,AR,1.48,D
Saint Leo University,FL,1.48,D
Saint Mary's College of California,CA,1.48,D
Tennessee Wesleyan University,TN,1.48,D
University of Detroit Mercy,MI,1.48,D
Bellarmine University,KY,1.47,D
Northwest Christian University,OR,1.47,D
Saint Peter's University,NJ,1.47,D
Texas College,TX,1.47,D
Bethany College,KS,1.46,D
Oklahoma City University,OK,1.45,D
